applicant_id,age,gender,governorate,education,payment_on_time_rate,transaction_regularity_score,dispute_rate,months_with_provider,avg_monthly_airtime_tnd,mobile_topup_frequency,business_hours_data_usage,mobile_money_account,avg_monthly_transactions,marketplace_seller_rating,completed_transactions,receives_remittances,avg_monthly_remittance_tnd,peer_transfer_network_size,location_consistency_score,loan_product_category,requested_amount_tnd,term_months,TARGET
100078,25,F,Ben Arous,Secondary,0.778,93.8,0.0,26,144.72,10,80.8,1,26,,0,0,0.0,28,100.0,Consumer,36697.75,23,0
100079,70,M,Siliana,Secondary,0.678,88.0,0.0,22,59.06,8,48.1,0,0,,0,0,0.0,9,66.7,Vehicle,28985.75,33,0
100080,30,F,Mahdia,Secondary,0.807,76.5,0.0,89,117.29,13,67.6,1,31,,0,0,0.0,14,33.3,Consumer,42661.53,29,0
100081,70,F,Kef,Secondary,0.956,62.2,0.4,81,100.91,8,52.0,0,0,4.87,38,0,0.0,5,66.7,Vehicle,39315.1,36,0
100082,27,F,Kef,University,0.641,43.4,0.2,76,200.0,20,73.6,1,49,,0,0,0.0,6,66.7,Housing,139918.25,23,0
100083,28,F,Bizerte,Secondary,0.809,51.5,0.0,85,60.2,8,55.3,1,7,,0,0,0.0,15,66.7,Consumer,24802.33,44,0
100084,62,F,Monastir,Secondary,0.76,92.3,0.2,120,200.0,15,59.7,0,0,,0,1,2000.0,6,33.3,Vehicle,60665.78,23,0
100085,56,F,Gabès,Secondary,0.634,76.4,0.2,109,20.71,14,79.0,1,16,,0,0,0.0,27,33.3,Consumer,8879.65,41,0
100086,21,F,Kebili,Secondary,0.974,74.5,0.0,63,152.66,6,32.1,0,0,,0,0,0.0,10,33.3,Vehicle,60067.86,29,0
100087,34,F,Kef,Secondary,0.861,41.3,0.2,24,200.0,11,78.2,0,0,4.11,427,1,2000.0,12,66.7,Housing,133602.71,24,0
100088,23,M,Mahdia,Secondary,0.783,61.9,0.0,107,122.59,14,59.3,0,0,,0,0,0.0,25,33.3,Housing,125456.18,45,0
100089,21,M,Béja,University,0.768,71.3,0.0,35,8.79,13,34.0,1,6,,0,0,0.0,12,66.7,Consumer,6156.03,58,0
100090,34,M,Jendouba,Secondary,0.614,81.7,0.0,120,46.86,15,48.9,1,35,2.96,258,1,2000.0,24,66.7,Consumer,21500.76,54,0
100091,25,F,Sfax,Secondary,0.871,48.7,0.0,9,200.0,6,41.9,1,31,,0,1,2000.0,23,33.3,Housing,135255.06,16,0
100092,37,F,Kasserine,Secondary,0.775,92.7,0.4,56,81.97,20,58.1,0,0,,0,1,2000.0,14,33.3,Consumer,26470.17,34,0
100093,21,M,Bizerte,Graduate,0.746,42.8,0.0,43,107.79,8,61.5,1,47,,0,1,2000.0,5,66.7,Business,64182.41,45,0
100094,21,F,Tataouine,Secondary,0.752,69.1,0.0,120,200.0,11,51.1,1,21,,0,0,0.0,23,33.3,Housing,182639.23,39,0
100095,63,F,Jendouba,Secondary,0.577,69.0,0.4,44,92.37,4,49.9,1,48,,0,1,2000.0,29,66.7,Business,67038.34,47,0
100096,70,M,Siliana,Secondary,0.918,63.0,0.0,5,49.05,13,49.6,0,0,,0,0,0.0,19,66.7,Consumer,22678.61,59,0
100097,61,M,Tunis,Primary,0.852,81.7,0.0,31,110.09,7,34.6,1,39,,0,0,0.0,12,100.0,Consumer,35335.34,28,0
100098,33,M,Ben Arous,Secondary,0.844,75.3,0.0,35,40.08,8,63.0,1,9,,0,0,0.0,11,100.0,Consumer,15245.84,49,0
100099,24,M,Siliana,University,0.849,38.7,0.0,76,200.0,15,31.7,1,27,,0,1,2000.0,13,66.7,Housing,200246.67,17,0
100100,21,F,Gabès,Secondary,0.791,30.2,0.0,120,85.36,8,32.2,0,0,,0,0,0.0,23,33.3,Consumer,55573.32,54,0
100101,21,F,Sousse,Secondary,0.523,59.0,0.2,34,75.78,6,77.2,1,25,,0,0,0.0,4,66.7,Consumer,37542.27,49,0
100102,30,M,Ariana,Secondary,0.654,49.4,0.0,76,194.98,13,83.7,1,16,,0,1,2000.0,4,100.0,Housing,122006.24,37,0
100103,69,M,Bizerte,University,0.744,69.6,0.2,45,79.58,19,73.2,1,37,3.77,493,0,0.0,12,66.7,Consumer,53090.64,51,0
100104,21,F,Siliana,University,0.894,71.6,0.0,117,89.87,11,77.8,1,25,,0,0,0.0,28,66.7,Consumer,35201.08,44,0
100105,69,F,Mahdia,Some University,0.603,30.5,0.0,20,46.37,14,55.7,0,0,,0,0,0.0,3,33.3,Consumer,21939.34,39,0
100106,21,M,Kef,Some University,0.902,81.8,0.0,58,58.53,19,36.1,0,0,,0,0,0.0,26,66.7,Consumer,36445.8,57,0
100107,38,F,Sousse,Secondary,0.763,80.5,0.2,48,42.65,12,36.7,0,0,,0,0,0.0,22,66.7,Consumer,8896.34,18,0
100108,44,F,Medenine,Secondary,0.312,29.1,0.0,120,164.48,12,77.6,1,24,,0,0,0.0,25,33.3,Housing,204746.96,60,0
100109,21,F,Tozeur,Some University,0.482,81.0,0.0,6,200.0,19,71.3,0,0,,0,1,2000.0,19,33.3,Housing,270018.18,19,0
100110,21,F,Sfax,Secondary,0.96,84.9,0.0,21,118.11,17,45.9,1,38,,0,0,0.0,23,100.0,Vehicle,50680.56,35,0
100111,58,M,Monastir,Primary,0.448,67.0,0.0,49,126.38,9,61.9,0,0,,0,0,0.0,29,33.3,Business,54688.04,23,0
100112,33,F,Siliana,Primary,0.436,43.8,0.0,45,178.43,12,38.7,0,0,,0,1,2000.0,22,66.7,Consumer,44916.27,25,1
100113,70,M,Ariana,Secondary,0.684,69.6,0.0,55,116.33,20,31.0,1,12,,0,0,0.0,11,100.0,Consumer,41965.86,42,0
100114,70,F,Béja,University,0.531,74.9,0.2,120,200.0,7,82.4,0,0,,0,0,0.0,30,66.7,Housing,329888.15,14,0
100115,70,M,Ben Arous,Secondary,0.538,29.7,0.2,27,63.54,12,80.9,0,0,,0,1,2000.0,12,100.0,Consumer,33002.29,57,0
100116,21,F,Bizerte,Secondary,0.589,59.6,0.2,33,10.4,14,39.6,1,32,,0,0,0.0,17,66.7,Consumer,3206.48,25,0
100117,21,M,Kef,Some University,0.809,12.7,0.0,25,200.0,18,31.5,0,0,,0,1,2000.0,28,66.7,Housing,136740.57,25,0
100118,21,F,Ben Arous,Secondary,0.438,87.8,0.2,44,30.45,9,49.2,0,0,,0,0,0.0,11,100.0,Consumer,15697.01,53,0
100119,21,F,Tozeur,Secondary,0.719,44.3,0.0,38,44.88,16,38.7,1,18,,0,0,0.0,21,33.3,Consumer,23552.72,49,0
100120,31,F,Tunis,Secondary,0.559,52.8,0.0,24,61.57,15,50.1,1,43,,0,0,0.0,29,100.0,Consumer,26425.84,44,0
100121,57,F,Jendouba,Secondary,0.832,87.5,0.0,32,200.0,13,37.4,1,11,,0,0,0.0,27,66.7,Consumer,53174.46,19,0
100122,21,F,Sfax,Secondary,0.673,79.3,0.0,103,200.0,12,52.4,1,40,,0,0,0.0,9,33.3,Housing,177754.7,49,0
100123,21,F,Monastir,University,0.969,49.9,0.2,20,198.86,9,37.0,1,39,,0,0,0.0,22,33.3,Corporate,93093.87,29,0
100124,21,M,Gabès,University,0.553,70.7,0.0,53,23.84,17,50.3,1,33,2.75,292,1,2000.0,19,33.3,Consumer,15732.41,60,0
100125,28,F,Béja,University,0.699,72.3,0.0,72,148.15,19,50.2,1,33,,0,0,0.0,20,66.7,Housing,127143.8,44,0
100126,27,F,Sfax,Secondary,0.679,71.5,0.0,62,55.59,8,65.1,0,0,,0,0,0.0,15,100.0,Consumer,30546.71,52,0
100127,32,F,Sousse,Secondary,0.769,72.0,0.2,32,200.0,16,31.8,0,0,,0,1,2000.0,14,66.7,Housing,208962.15,47,0
100128,43,F,Tunis,Secondary,0.772,64.3,0.2,42,188.11,9,60.7,1,14,,0,0,0.0,20,100.0,Housing,126831.68,41,0
100129,32,F,Sidi Bouzid,Primary,0.917,32.6,0.0,120,49.09,8,52.3,1,10,,0,0,0.0,16,33.3,Vehicle,25399.86,46,0
100130,59,M,Kef,Secondary,0.784,80.2,0.0,116,129.5,5,54.8,1,7,,0,0,0.0,4,66.7,Business,76574.86,41,0
100131,21,M,Gabès,Secondary,0.457,35.1,0.2,106,165.79,7,32.9,1,5,,0,0,0.0,28,33.3,Consumer,28640.05,14,0
100132,26,M,Siliana,Secondary,0.649,73.6,0.0,65,51.67,13,60.5,1,44,3.2,237,1,2000.0,10,66.7,Business,21619.02,29,0
100133,49,M,Sidi Bouzid,Secondary,0.452,76.3,0.0,30,200.0,16,54.4,0,0,,0,0,0.0,14,33.3,Housing,236339.77,27,0
100134,39,M,Bizerte,Some University,0.149,5.3,0.4,24,70.76,14,30.6,1,34,,0,1,2000.0,23,66.7,Consumer,27475.68,46,1
100135,70,F,Sfax,Secondary,0.53,72.5,0.0,15,66.87,12,81.5,0,0,,0,0,0.0,2,100.0,Business,33145.9,40,0
100136,21,F,Kairouan,University,0.867,67.0,0.0,67,147.64,14,80.2,1,37,,0,0,0.0,26,33.3,Consumer,52826.07,41,0
100137,49,M,Ariana,Primary,0.828,74.7,0.0,7,48.96,11,54.4,1,15,,0,1,2000.0,8,100.0,Consumer,24180.58,53,0
100138,21,F,Jendouba,Some University,0.818,57.7,0.0,68,30.85,19,35.6,0,0,3.95,300,0,0.0,17,66.7,Business,18965.5,37,0
100139,21,M,Sfax,Secondary,0.309,46.9,0.0,35,119.25,16,77.5,1,10,,0,0,0.0,15,33.3,Consumer,23229.8,22,1
100140,67,F,Jendouba,Secondary,0.07,72.1,0.4,83,200.0,20,51.7,0,0,,0,0,0.0,22,66.7,Consumer,35366.9,13,1
100141,31,F,Tunis,Some University,0.736,58.0,0.0,110,200.0,10,50.5,1,14,,0,0,0.0,5,100.0,Housing,263502.22,20,0
100142,39,F,Sousse,Primary,0.583,49.8,0.2,12,200.0,10,35.2,1,32,,0,0,0.0,2,66.7,Housing,171266.52,13,0
100143,21,F,Béja,University,0.631,85.6,0.0,29,200.0,8,40.3,1,29,,0,0,0.0,27,66.7,Housing,181997.94,23,0
100144,21,F,Béja,Secondary,0.7,60.1,0.0,120,45.55,7,34.2,1,35,,0,0,0.0,12,66.7,Consumer,15458.33,42,0
100145,21,M,Kef,Secondary,0.654,54.1,0.0,35,118.36,16,34.9,0,0,,0,0,0.0,4,66.7,Business,31718.98,19,0
100146,37,M,Siliana,Secondary,0.391,74.8,0.0,42,200.0,11,67.1,1,21,,0,0,0.0,2,66.7,Housing,131296.79,16,0
100147,21,F,Siliana,Secondary,0.695,57.5,0.2,5,62.35,4,54.3,0,0,,0,0,0.0,17,66.7,Corporate,84477.07,59,0
100148,29,F,Jendouba,Secondary,0.801,79.4,0.0,94,28.61,16,52.6,1,12,,0,0,0.0,21,66.7,Consumer,18742.05,60,0
100149,59,F,Kasserine,University,0.819,45.3,0.0,49,75.1,8,78.5,1,11,4.17,298,0,0.0,2,33.3,Business,51500.14,43,0
100150,21,F,Jendouba,University,0.756,60.2,0.2,92,151.24,12,33.1,1,37,,0,0,0.0,9,66.7,Business,37188.88,17,0
100151,70,M,Kasserine,Secondary,0.912,74.2,0.0,76,64.74,11,50.9,0,0,,0,0,0.0,22,33.3,Business,48471.48,51,0
100152,21,F,Bizerte,Secondary,0.824,89.6,0.2,22,34.48,10,40.2,1,41,,0,1,2000.0,19,66.7,Consumer,10729.33,38,0
100153,29,F,Sousse,Secondary,0.583,79.3,0.0,42,200.0,12,54.4,1,5,,0,0,0.0,26,66.7,Housing,147978.21,21,0
100154,39,F,Béja,Secondary,0.563,85.7,0.0,29,116.52,18,40.1,1,30,,0,0,0.0,26,66.7,Vehicle,50696.84,40,1
100155,21,F,Ariana,Some University,0.73,37.0,0.0,48,200.0,10,34.5,1,49,,0,0,0.0,14,100.0,Business,83915.93,14,0
100156,22,F,Sousse,Some University,0.665,50.4,0.0,31,61.74,5,53.8,1,35,,0,0,0.0,22,66.7,Consumer,28607.23,59,0
100157,68,F,Sfax,Secondary,0.686,78.7,0.0,114,132.47,9,34.0,1,33,,0,0,0.0,25,100.0,Housing,142539.01,52,0
100158,55,F,Medenine,University,0.854,25.5,0.0,120,36.39,16,35.3,1,46,,0,0,0.0,28,33.3,Consumer,10810.2,25,0
100159,26,F,Siliana,Secondary,0.647,35.1,0.0,73,74.58,4,32.7,1,45,,0,0,0.0,26,66.7,Consumer,27844.27,32,0
100160,32,M,Sousse,Some University,0.786,61.6,0.2,120,17.65,14,40.0,1,38,,0,0,0.0,27,66.7,Consumer,5943.69,31,0
100161,36,M,Béja,Secondary,0.652,84.0,0.2,68,200.0,19,32.2,0,0,3.24,119,0,0.0,2,66.7,Housing,475234.2,53,0
100162,48,F,Medenine,Secondary,0.851,51.0,0.0,75,200.0,4,44.1,1,32,,0,0,0.0,17,33.3,Housing,179130.34,29,0
100163,50,M,Sfax,Secondary,0.833,61.5,0.0,65,200.0,7,46.5,1,34,,0,0,0.0,25,33.3,Consumer,45182.12,14,0
100164,49,F,Medenine,Secondary,0.945,78.2,0.0,111,200.0,14,38.7,0,0,,0,0,0.0,2,33.3,Housing,130244.07,22,0
100165,23,M,Kasserine,Secondary,0.656,81.1,0.0,64,200.0,15,48.8,1,30,,0,0,0.0,2,33.3,Housing,151377.45,22,0
100166,35,F,Kairouan,Some University,0.709,63.9,0.0,68,31.09,9,52.9,0,0,,0,0,0.0,21,33.3,Vehicle,25569.63,58,0
100167,64,M,Kef,Secondary,0.685,87.8,0.0,40,177.12,16,43.8,1,12,3.4,372,0,0.0,12,66.7,Housing,165485.97,56,0
100168,70,M,Gabès,University,0.914,77.8,0.0,24,200.0,4,68.4,1,10,4.45,43,0,0.0,17,33.3,Housing,289492.05,26,0
100169,34,F,Gafsa,Some University,0.903,43.3,0.0,53,200.0,13,74.6,0,0,4.5,484,1,2000.0,20,33.3,Consumer,30600.37,12,0
100170,21,F,Ariana,University,0.793,55.5,0.0,39,200.0,18,50.1,1,8,,0,0,0.0,22,100.0,Housing,147096.66,37,0
100171,21,F,Sfax,Secondary,0.502,65.0,0.0,42,41.97,13,58.1,1,36,,0,0,0.0,15,100.0,Consumer,22854.71,50,0
100172,50,M,Kairouan,Secondary,0.71,89.6,0.2,102,81.46,9,69.5,1,17,,0,0,0.0,20,33.3,Business,28129.34,25,0
100173,21,F,Siliana,Primary,0.315,29.5,0.2,120,82.7,7,78.9,0,0,,0,1,2000.0,29,66.7,Consumer,23447.01,33,0
100174,50,F,Bizerte,University,0.532,91.7,0.2,120,200.0,10,62.2,0,0,2.54,288,0,0.0,27,66.7,Housing,118578.14,20,0
100175,51,F,Kairouan,University,0.77,95.0,0.0,8,161.84,4,43.3,1,26,,0,0,0.0,18,33.3,Consumer,39802.5,28,0
100176,21,F,Siliana,Secondary,0.592,75.8,0.0,120,148.15,7,36.7,0,0,,0,1,2000.0,3,66.7,Housing,174195.18,48,0
100177,38,F,Kasserine,Secondary,0.501,28.2,0.0,42,127.76,18,74.8,1,23,,0,0,0.0,2,33.3,Consumer,38569.67,33,0
100178,27,M,Mahdia,University,0.162,40.3,0.0,12,200.0,8,82.0,1,41,,0,1,2000.0,24,33.3,Housing,151149.32,33,1
100179,21,F,Sousse,Secondary,0.916,85.4,0.0,58,200.0,11,33.6,1,45,,0,0,0.0,17,66.7,Housing,200950.43,50,0
100180,47,M,Jendouba,Some University,0.524,60.0,0.0,28,200.0,16,36.3,0,0,,0,0,0.0,10,66.7,Housing,381321.08,49,0
100181,44,F,Gafsa,University,0.808,68.1,0.2,78,200.0,19,59.9,1,45,4.05,394,0,0.0,5,33.3,Consumer,37605.18,21,0
100182,22,M,Siliana,Some University,0.135,32.8,0.2,28,200.0,19,41.4,1,19,,0,1,2000.0,27,66.7,Housing,111749.47,32,1
100183,70,F,Kef,University,0.885,98.9,0.0,26,43.9,12,30.2,1,47,4.48,67,0,0.0,5,66.7,Consumer,28590.14,53,0
100184,32,F,Siliana,University,0.668,70.3,0.0,72,200.0,5,44.8,1,26,,0,0,0.0,8,66.7,Housing,149365.97,34,0
